timestamp,zone_temp,outdoor_temp,fan_power,chiller_power,pump_power,hvac_power,cooling_rate,heating_rate,cooling_setpoint,heating_setpoint
6.333333333333334,16.50851145628858,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3324.3218697555335,,
6.375,16.50851145628858,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3318.610047976896,,
6.416666666666667,16.50851145628858,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3316.025745779902,,
6.458333333333334,16.50851145628858,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3313.321112163985,,
6.5,16.50851145628858,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3311.436618981551,,
6.75,16.5004854532912,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3310.3749052697813,,
6.583333333333333,16.5004854532912,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3310.354233162261,,
6.666666666666666,16.5004854532912,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3313.221350724849,,
6.75,16.5004854532912,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3306.8673171924443,,
7.0,16.25555579294923,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3303.6244897862075,,
6.875,16.25555579294923,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3302.3907062949224,,
7.0,16.25555579294923,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,3304.1765330494673,,
7.25,16.135622688391692,-10.45,376.37784942167525,0.0,0.0,0.0,0.0,3298.3640547634172,,
7.5,16.114635555015866,-10.3,376.37784942167525,0.0,0.0,0.0,0.0,3296.534045946553,,
7.75,16.143744034765927,-10.15,376.37784942167525,0.0,0.0,0.0,0.0,3292.1975956923307,,
7.625,16.143744034765927,-10.15,376.37784942167525,0.0,0.0,0.0,0.0,3286.1396199406768,,
7.75,16.143744034765927,-10.15,376.37784942167525,0.0,0.0,0.0,0.0,3286.1396199406768,,
8.0,16.200359232789864,-10.0,376.37784942167525,0.0,0.0,0.0,0.0,3281.5957617678823,,
8.25,16.282143388179975,-9.725,376.37784942167525,0.0,0.0,0.0,0.0,3278.738941231567,,
8.083333333333334,16.282143388179975,-9.725,376.37784942167525,0.0,0.0,0.0,0.0,3272.687564928959,,
8.166666666666668,16.282143388179975,-9.725,376.37784942167525,0.0,0.0,0.0,0.0,3272.687564928959,,
8.25,16.282143388179975,-9.725,376.37784942167525,0.0,0.0,0.0,0.0,3253.1022191550746,,
8.5,17.18866639771205,-9.45,376.37784942167525,0.0,0.0,0.0,0.0,3241.2938042924925,,
8.333333333333334,17.18866639771205,-9.45,376.37784942167525,0.0,0.0,0.0,0.0,3239.7965275157862,,
8.416666666666668,17.18866639771205,-9.45,376.37784942167525,0.0,0.0,0.0,0.0,3244.6655622558183,,
8.5,17.18866639771205,-9.45,376.37784942167525,0.0,0.0,0.0,0.0,3229.2612434025823,,
8.75,17.854652846887916,-9.175,376.37784942167525,0.0,0.0,0.0,0.0,3221.5074523676144,,
8.625,17.854652846887916,-9.175,413.07773794515384,0.0,0.0,0.0,0.0,3027.835074875212,,
8.75,17.854652846887916,-9.175,413.07773794515384,0.0,0.0,0.0,0.0,3194.282139045173,,
9.0,18.049210804746465,-8.9,413.07773794515384,0.0,0.0,0.0,0.0,3123.051995622441,,
9.25,18.214373614927496,-8.350000000000001,413.07773794515384,0.0,0.0,0.0,0.0,3098.66728568509,,
9.125,18.214373614927496,-8.350000000000001,413.07773794515384,0.0,0.0,0.0,0.0,3045.349168639195,,
9.25,18.214373614927496,-8.350000000000001,413.07773794515384,0.0,0.0,0.0,0.0,3045.349168639195,,
9.5,18.67287135472233,-7.800000000000001,413.07773794515384,0.0,0.0,0.0,0.0,2993.3478322206397,,
9.375,18.67287135472233,-7.800000000000001,413.07773794515384,0.0,0.0,0.0,0.0,2973.2536487603015,,
9.5,18.67287135472233,-7.800000000000001,413.07773794515384,0.0,0.0,0.0,0.0,2982.8892669373163,,
9.75,19.047705318121636,-7.25,413.07773794515384,0.0,0.0,0.0,0.0,2924.0541094764544,,
9.625,19.047705318121636,-7.25,413.07773794515384,0.0,0.0,0.0,0.0,2900.141302388561,,
9.75,19.047705318121636,-7.25,413.07773794515384,0.0,0.0,0.0,0.0,2911.6262137119948,,
10.0,19.288785627591587,-6.7,413.07773794515384,0.0,0.0,0.0,0.0,2851.9987528499905,,
10.25,19.524762663463132,-6.275,413.07773794515384,0.0,0.0,0.0,0.0,2830.9478361374704,,
10.5,19.791284672423323,-5.85,414.0600739438447,0.0,0.0,0.0,0.0,2764.336458679565,,
10.375,19.791284672423323,-5.85,418.85399607004246,0.0,0.0,0.0,0.0,2651.547116657952,,
10.5,19.791284672423323,-5.85,418.80111414001965,0.0,0.0,0.0,0.0,2660.8186098031724,,
10.75,20.062796335423478,-5.425,418.09838711364404,0.0,0.0,0.0,0.0,2593.627207319731,,
